text,emotion,prediction
i don t feel particularly agitated,fear,anger
i pay attention it deepens into a feeling of being invaded and helpless,fear,sadness
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,surprise
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,love
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,surprise
i feel a bit stressed even though all the things i have going on are fun,anger,sadness
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,love
i was feeling weird the other day and it went away about minutes after i took my metformin,fear,surprise
when a friend dropped a frog down my neck,anger,sadness
i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,sadness,joy
i feel my heart is tortured by what i have done,anger,fear
i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,sadness,surprise
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear,anger
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,surprise
made a wonderfull new friend,joy,anger
im feeling generous today heres one more you may have already seen but is good for a chuckle,love,joy
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,sadness
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise,fear
i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger,surprise
i feel kinda weird when andrea tries to talk to me about chris,fear,surprise
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,sadness
i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,fear,sadness
i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,fear,sadness
i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,surprise,joy
i realized what i am passionate about helping women feel accepted and appreciated,joy,love
i feel so blessed and honored that we get to be its parents,love,joy
i do feel welcomed but it s a little weird,joy,surprise
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise,sadness
i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,sadness,surprise
i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love,surprise
i have a lot going on in my life and feel overwhelmed,fear,surprise
i know what you mean about feeling agitated,fear,anger
i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,sadness,anger
ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love,joy
is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,joy,sadness
i could feel his breath on me and smell the sweet scent of him,joy,love
i suppose if one was feeling generous one could say i was stressed by the elevator ride,joy,love
i feel quite passionate about and that is how old should children be to undergo beauty treatments,joy,love
i loved the feeling i got during an amazing slalom run whether it was in training or in a race,joy,surprise
i have been sitting at home revising today and all in all feeling quite stressed,anger,sadness
i guess feelings aren t meant to be inhibited or prohibited,fear,sadness
i feel unprotected a class post count link href http reprogramming in process,sadness,fear
i feel like in the last year especially i ve gone from a girl to a woman and despite how hesitant i have always been about getting older next year i will be twenty four i am surprised at how pleased i am to have done so,fear,surprise
i know that i have it nowhere near as worse as my brethren overseas but right now i feel like im being physically emotionally and spiritually assaulted,fear,sadness
i had to continue to enforce my no playdate policy which meant i continued to feel angry twice over each day once during a horrible morning drop off and once in the afternoon when i reminded noah that no he couldnt play because of the bad drop off missing mommy,anger,sadness
i woke up feeling groggy and grumpy and like the last thing i wanted to do was make dinner,sadness,anger
